Name,Version,Type,Path,Git commit,Last updated
apache-libcloud,3.3.1,pip,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment2/requirements.txt,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@emotion/react,11.11.1,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@emotion/styled,11.11.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@mdi/js,7.3.67,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@monaco-editor/react,4.6.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@mui/icons-material,5.14.16,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@mui/material,5.14.16,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@mui/styles,5.14.16,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@mui/x-date-pickers,6.18.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@redux-devtools/extension,3.2.5,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@reduxjs/toolkit,1.9.7,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@stripe/react-stripe-js,2.3.1,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
@stripe/stripe-js,2.1.11,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
axios,1.6.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
buffer,6.0.3,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
copy-to-clipboard,3.3.3,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
crypto-browserify,3.12.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
generate-password,1.7.1,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
jwt-decode,4.0.0,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
leaflet,1.9.4,npm,/Users/ahmedabdulahiahmed/Documents/IN3110/IN3110-ahmeaah/assignment4/package.json,3a9ed09776e1910d5a2b2ffe2f61c3cbd46ac29a,Wed Nov 15 09:28:21 2023
